NAME;CAPITAL;TOTAL_AREA_KM2;POPULATION;DENSITY_KM2;CONTINENT;URBAN_POPULATION;RURAL_POPULATION;CRUDE_OIL_BAR_DAY;OIL_RES_MIL_BAR;GAS_TONS;GAS_RES_MIL_M_3;GDP_MILLION_$;GDP_GROW_RATE;GDP_$_PER_CAPITA;DOCTORS;ILLITERACY;PRIMARY_SECTOR;SECONDARY_SECTOR;TERTIARY_SECTOR;PHONES_RATE;NATURAL_GROWTH;MEM_LIFE_EXP;WOMEN_LIFE_EXP;MAIN_SECTOR;MAIN_GROUP
Moldova ;Chisinau;33700;4505820;133,7;Europe;52;48;;;;;10400;-3;2310;;;;;;;;;;;Urban
Monaco;Monaco;2;31736;16703;Europe;100;0;;;;;788;0;25000;366;;;;;;;;;;Urban
Mongolia;Ulaanbaatar ;1565000;2557950;1,6;Asia;61;39;;;;;0;6;1970;367;;29;25;37;0,02;28,8;61,9;66,1;Tertiary ;Urban
Morocco ;Rabat ;446550;29778477;66,7;Africa;48;52;;;;;87400;-6,5;3000;4873;;39;23;27;0,01;25,6;59,1;62,5;Primary;Rural
Mozambique;Maputo;801590;18635158;23,2;Africa;34;66;;;;;12200;-2,5;700;43536;;83;6;7;0;26,5;44,9;48,1;Primary;Rural
Namibia ;Windhoek;825418;1708358;2,1;Africa;37;63;;;;;5800;6,6;3600;4450;;19;17;63;0,04;31,8;55;57,5;Tertiary ;Rural
Nepal ;Kathmandu ;140800;22086954;156,9;Asia;14;86;;;;;0;2,3;1200;20737;;;11;9;0;24,7;55,4;52,6;Secondary;Rural
Netherlands ;Amsterdam ;37330;15533258;416,1;Europe;89;11;;;68200000;1800000;301900;2,5;19500;414;0;4;23;64;0,58;4,6;73,7;80,2;Tertiary ;Urban
New Zealand ;Wellington;268680;3424995;12,7;Oceania ;86;14;;;;;62300;5,5;18300;373;0;9;21;;0,67;9,9;72;78;Secondary;Urban
Nicaragua ;Managua ;129494;4316139;33,3;America ;63;37;;;;;0;4,2;1700;1678;26;32;9;32;0,01;31;61;63;Tertiary ;Urban
Niger ;Niamey;1267000;9595735;7,6;Africa;17;83;;;;;5500;6,7;600;38500;;88;2;9;0;31,3;42,9;46,1;Primary;Rural
Nigeria ;Abuja ;923770;104431190;113;Africa;39;61;2150000;15500;4200000;3000000;135900;2,6;1300;6573;;44;5;41;0;34,2;48,8;52,2;Primary;Rural
Norway;Oslo;324220;4346976;13,4;Europe;73;27;3315000;11200;36800000;1400000;106200;4,5;24500;327;0;;;71;0,47;3,6;73,3;79,8;Tertiary ;Urban
Oman;Muscat;212460;2203930;10,4;Asia;13;87;895000;5100;;;0;3,5;10800;1041;59;23;30;;0,04;37,8;62,2;65,8;Secondary;Rural
Pakistan;Islamabad ;803940;133225657;165,7;Asia;35;65;;;;;0;4,7;2100;2364;;49;18;31;0;32,8;59,3;60,7;Primary;Rural
Palau (Pac,Is,TT) ;Koror ;458;16954;37;Oceania ;71;29;;;;;81;0;5000;;;;;;;;;;;Urban
Panama;Panama;78200;2731840;34,9;America ;53;47;;;;;0;2,8;5100;840;;29;12;55;0,09;19,2;70,2;74,1;Tertiary ;Urban
Papua New Guinea;Port Moresby;461690;4393529;9,5;Asia;16;84;;;;;0;-3;2400;11904;;;5;17;0,01;23;54;56;Tertiary ;Rural
